"DateTime","Price USD","Price BTC","Volume","DateTim","Navigator 5","Navigator 5","Navigator 5"
"2016-08-25 09:38:56",,,,"2016-08-25 09:38:56",578,921440621576,,67445688,42857143
"2016-09-01 09:38:56",,,,"2016-09-01 09:38:56",579,4467475198413,,94967862
"2016-09-08 09:38:56",,,,"2016-09-08 09:38:56",616,2843539488968,,70679768,85714285
"2016-09-15 09:38:56",,,,"2016-09-15 09:38:56",608,30903125,,61113594
"2016-09-22 09:38:56",,,,"2016-09-22 09:38:56",602,674140873016,,56317470,28571428
"2016-09-29 09:38:56",,,,"2016-09-29 09:38:56",607,5506269841271,,49907040,28571428
"2016-10-06 09:38:56",,,,"2016-10-06 09:38:56",613,9812802579369,,50674978
"2016-10-13 09:38:56",,,,"2016-10-13 09:38:56",635,3826344107282,,64086337,428571425
"2016-10-20 09:38:56",,,,"2016-10-20 09:38:56",639,615996031746,,60450636
"2016-10-27 09:38:56",,,,"2016-10-27 09:38:56",681,035387343322,,88434270,57142857
"2016-11-03 09:38:56",,,,"2016-11-03 09:38:56",712,8312566513041,,100601554,71428572
"2016-11-10 09:38:56",,,,"2016-11-10 09:38:56",711,0295865523367,,75502840,42857143
"2016-11-17 09:38:56",,,,"2016-11-17 09:38:56",732,4164979591371,,95241033,28571428
"2016-11-24 09:38:56",,,,"2016-11-24 09:38:56",739,6563788568067,,82282174,42857143
"2016-12-01 09:38:56",,,,"2016-12-01 09:38:56",754,8823184592945,,76015766,42857143
"2016-12-08 09:38:56",,,,"2016-12-08 09:38:56",767,982503968254,,81725366,57142857
"2016-12-15 09:38:56",,,,"2016-12-15 09:38:56",783,2237122297241,,73921922
"2016-12-22 09:38:56",,,,"2016-12-22 09:38:56",850,062234126984,,147172147,14285713
"2016-12-29 09:38:56",,,,"2016-12-29 09:38:56",949,192925099206,,158309417
"2017-01-05 09:38:56",,,,"2017-01-05 09:38:56",992,5157151145671,,288134027,5714286
"2017-01-12 09:38:56",,,,"2017-01-12 09:38:56",840,9165801048059,,165208579,2857143
"2017-01-19 09:38:56",,,,"2017-01-19 09:38:56",889,6614146825397,,109085744,57142857
"2017-01-26 09:38:56",,,,"2017-01-26 09:38:56",915,156862234987,,99720833
"2017-02-02 09:38:56",,,,"2017-02-02 09:38:56",989,840017981589,,137081729,42857143
"2017-02-09 09:38:56",,,,"2017-02-09 09:38:56",1023,5651894841275,,176280816,42857143
"2017-02-16 09:38:56",,,,"2017-02-16 09:38:56",1023,9313358620544,,105134785,42857143
